iter	Passed	Remaining
0	371	371375
1	700	349648
2	992	329944
3	1241	309119
4	1498	298131
5	1838	304645
6	2041	289601
7	2311	286564
8	2640	290707
9	2881	285249
10	3280	294951
11	3476	286263
12	3774	286578
13	4010	282451
14	4237	278248
15	4512	277500
16	4738	273976
17	4993	272419
18	5207	268885
19	5368	263050
20	5626	262281
21	5926	263445
22	6231	264687
23	6500	264369
24	6746	263096
25	7004	262396
26	7174	258539
27	7321	254144
28	7744	259317
29	7947	256967
30	8198	256276
31	8334	252128
32	8670	254084
33	9020	256299
34	9310	256693
35	9603	257149
36	9789	254800
37	10087	255367
38	10319	254281
39	10501	252039
40	10782	252200
41	11075	252633
42	11327	252107
43	11457	248933
44	11670	247669
45	11858	245935
46	12055	244450
47	12273	243424
48	12763	247723
49	13089	248698
50	13315	247775
51	13536	246784
52	13767	246003
53	14184	248482
54	14513	249361
55	14639	246788
56	14758	244157
57	14943	242708
58	15127	241267
59	15419	241567
60	15787	243025
61	16065	243059
62	16314	242647
63	16681	243961
64	16957	243926
65	17161	242855
66	17363	241789
67	17600	241224
68	17679	238548
69	17940	238356
70	18240	238674
71	18497	238408
72	18651	236853
73	18838	235735
74	19053	234998
75	19365	235441
76	19554	234395
77	19819	234276
78	20097	234297
79	20385	234429
80	20613	233877
81	20883	233789
82	21214	234380
83	21771	237414
84	22119	238104
85	22259	236576
86	22545	236596
87	22782	236113
88	22993	235365
89	23226	234845
90	23450	234245
91	23664	233553
92	23969	233768
93	24225	233490
94	24471	233120
95	24547	231154
96	24785	230731
97	25009	230188
98	25187	229229
99	25449	229042
100	25754	229241
101	25851	227592
102	26075	227084
103	26252	226175
104	26422	225221
105	26657	224831
106	26944	224875
107	27088	223730
108	27369	223723
109	27570	223069
110	27860	223134
111	28144	223144
112	28321	222312
113	28466	221239
114	28566	219835
115	28781	219335
116	28913	218211
117	29108	217570
118	29276	216743
119	29483	216213
120	29628	215233
121	29826	214655
122	29996	213877
123	30156	213043
124	30437	213065
125	30616	212373
126	30757	211424
127	30994	211149
128	31189	210588
129	31362	209886
130	31611	209699
131	31852	209454
132	32188	209829
133	32504	210069
134	32758	209899
135	32947	209313
136	33217	209248
137	33555	209599
138	33861	209744
139	34083	209371
140	34301	208973
141	34524	208608
142	34713	208040
143	34989	207994
144	35224	207704
145	35424	207206
146	35614	206663
147	35818	206196
148	36069	206010
149	36261	205482
150	36431	204833
151	36636	204393
152	36779	203609
153	36985	203182
154	37139	202471
155	37298	201792
156	37480	201247
157	37760	201231
158	37853	200220
159	37995	199476
160	38221	199178
161	38445	198871
162	38630	198367
163	38731	197435
164	38849	196600
165	38988	195883
166	39211	195585
167	39492	195583
168	39812	195765
169	40008	195333
170	40184	194811
171	40347	194231
172	40501	193610
173	40685	193139
174	40873	192687
175	40984	191879
176	41093	191071
177	41210	190311
178	41371	189752
179	41541	189242
180	41759	188956
181	41964	188610
182	42090	187912
183	42194	187121
184	42418	186869
185	42613	186489
186	42945	186710
187	43192	186554
188	43375	186122
189	43648	186081
190	43907	185973
191	44114	185646
192	44357	185474
193	44737	185868
194	45042	185943
195	45171	185293
196	45407	185086
197	45652	184913
198	45922	184843
199	46173	184692
200	46433	184577
201	46633	184224
202	46772	183634
203	46954	183214
204	47029	182382
205	47183	181863
206	47522	182055
207	47851	182203
208	48114	182097
209	48320	181776
210	48662	181966
211	49015	182188
212	49356	182363
213	49662	182405
214	50038	182699
215	50285	182519
216	50594	182558
217	50845	182390
218	51030	181985
219	51333	181999
220	51530	181639
221	51756	181380
222	51978	181108
223	52196	180822
224	52564	181056
225	53032	181626
226	53347	181661
227	53597	181479
228	53898	181466
229	54355	181971
230	54629	181862
231	54848	181567
232	55058	181243
233	55266	180916
234	55461	180545
235	55638	180116
236	55869	179867
237	56085	179566
238	56312	179303
239	56511	178952
240	56712	178608
241	57034	178644
242	57331	178599
243	57534	178262
244	57880	178366
245	58222	178454
246	58457	178211
247	58685	177949
248	58930	177737
249	59075	177226
250	59272	176871
251	59436	176423
252	59683	176218
253	59862	175817
254	59997	175285
255	60199	174955
256	60443	174744
257	60713	174609
258	60909	174263
259	61084	173854
260	61343	173689
261	61445	173078
262	61644	172744
263	61800	172293
264	61983	171915
265	62230	171719
266	62428	171386
267	62619	171035
268	62882	170882
269	63194	170857
270	63653	171229
271	63762	170657
272	64116	170743
273	64608	171188
274	64939	171205
275	65107	170789
276	65271	170365
277	65451	169985
278	65716	169826
279	65987	169680
280	66205	169402
281	66487	169283
282	66793	169224
283	67104	169178
284	67329	168914
285	67707	169033
286	67983	168893
287	68301	168856
288	68597	168764
289	68803	168450
290	69125	168419
291	69216	167827
292	69474	167640
293	69784	167578
294	70156	167662
295	70475	167616
296	70781	167540
297	71160	167633
298	71438	167487
299	71732	167375
300	72109	167456
301	72444	167436
302	72741	167330
303	72998	167127
304	73540	167576
305	73839	167466
306	74256	167622
307	74585	167575
308	74794	167259
309	75019	166978
310	75175	166547
311	75389	166244
312	75656	166056
313	75859	165732
314	76035	165346
315	76276	165104
316	76456	164730
317	76739	164580
318	77010	164402
319	77300	164264
320	77429	163783
321	77652	163505
322	77919	163318
323	78053	162851
324	78236	162491
325	78598	162502
326	78796	162171
327	78857	161562
328	78946	161013
329	79058	160512
330	79162	159999
331	79232	159419
332	79335	158909
333	79420	158366
334	79557	157928
335	79670	157444
336	79779	156954
337	80032	156750
338	80271	156516
339	80500	156265
340	80778	156108
341	80962	155770
342	81197	155530
343	81298	155033
344	81539	154806
345	81710	154447
346	81894	154112
347	82171	153954
348	82453	153802
349	82681	153550
350	82958	153391
351	83191	153147
352	83396	152853
353	83582	152525
354	83797	152252
355	84071	152084
356	84354	151932
357	84658	151816
358	84927	151639
359	85283	151614
360	85531	151397
361	85653	150958
362	86031	150970
363	86238	150680
364	86457	150412
365	86677	150146
366	86929	149934
367	87067	149528
368	87259	149215
369	87379	148780
370	87565	148459
371	87750	148138
372	87873	147712
373	88124	147502
374	88339	147232
375	88814	147394
376	89062	147177
377	89229	146827
378	89414	146507
379	89539	146091
380	89697	145729
381	89828	145324
382	89938	144887
383	90034	144429
384	90149	144005
385	90317	143666
386	90503	143356
387	90764	143165
388	91147	143165
389	91483	143090
390	91852	143063
391	91975	142656
392	92055	142182
393	92259	141902
394	92448	141598
395	92673	141351
396	92891	141092
397	93054	140750
398	93193	140374
399	93436	140154
400	93625	139854
401	93972	139789
402	94113	139418
403	94325	139153
404	94546	138901
405	95057	139073
406	95480	139115
407	95841	139063
408	96171	138966
